,Euclid Av,Shepherd Av,Van Siclen Av,Liberty Av,Broadway Junction,Utica Av,Nostrand Av,Hoyt-Schermerhorn Sts,Jay St-MetroTech,High St,Fulton St,Chambers St,Canal St,W 4 St-Wash Sq,14 St,34 St-Penn Station,42 St-Port Authority Bus Terminal,59 St-Columbus Circle,125 St,145 St,168 St
Fulton St,29.436936936936938,27.936936936936938,25.936936936936938,24.436936936936938,22.117117117117118,13.545045045045045,10.545045045045045,6.927927927927928,5.036036036036036,3.036036036036036,0.0,1.5945945945945945,4.094594594594595,7.594594594594595,10.063063063063064,13.202702702702704,14.67117117117117,19.0990990990991,31.954954954954953,35.95495495495496,40.572072072072075
Chambers St,30.936936936936938,29.436936936936938,27.436936936936938,25.936936936936938,23.617117117117118,15.045045045045045,12.045045045045045,8.427927927927929,6.536036036036036,4.536036036036036,1.5,0.0,2.5,6.0,8.468468468468469,11.608108108108109,13.076576576576576,17.504504504504503,30.36036036036036,34.36036036036036,38.97747747747748
Canal St,32.93693693693694,31.436936936936938,29.436936936936938,27.936936936936938,25.617117117117118,17.045045045045047,14.045045045045045,10.427927927927929,8.536036036036036,6.536036036036036,3.5,2.0,0.0,3.5,5.968468468468468,9.108108108108109,10.576576576576576,15.004504504504505,27.86036036036036,31.86036036036036,36.47747747747748
W 4 St-Wash Sq,37.310810810810814,35.810810810810814,33.810810810810814,32.310810810810814,29.99099099099099,21.41891891891892,18.41891891891892,14.801801801801801,12.90990990990991,10.90990990990991,7.873873873873874,6.373873873873874,4.373873873873874,0.0,2.4684684684684686,5.608108108108108,7.076576576576577,11.504504504504505,24.36036036036036,28.36036036036036,32.97747747747748
14 St,39.810810810810814,38.310810810810814,36.310810810810814,34.810810810810814,32.490990990990994,23.91891891891892,20.91891891891892,17.3018018018018,15.40990990990991,13.40990990990991,10.373873873873874,8.873873873873874,6.873873873873874,2.5,0.0,3.1396396396396398,4.608108108108108,9.036036036036036,21.89189189189189,25.89189189189189,30.50900900900901
34 St-Penn Station,43.04504504504504,41.54504504504504,39.54504504504504,38.04504504504504,35.72522522522522,27.153153153153152,24.153153153153152,20.536036036036037,18.644144144144143,16.644144144144143,13.608108108108109,12.108108108108109,10.108108108108109,5.7342342342342345,3.234234234234234,0.0,1.4684684684684686,5.896396396396397,18.75225225225225,22.75225225225225,27.36936936936937
42 St-Port Authority Bus Terminal,44.54504504504504,43.04504504504504,41.04504504504504,39.54504504504504,37.22522522522522,28.653153153153152,25.653153153153152,22.036036036036037,20.144144144144143,18.144144144144143,15.108108108108109,13.608108108108109,11.608108108108109,7.2342342342342345,4.7342342342342345,1.5,0.0,4.427927927927928,17.283783783783782,21.283783783783782,25.9009009009009
59 St-Columbus Circle,49.747747747747745,48.247747747747745,46.247747747747745,44.747747747747745,42.427927927927925,33.85585585585586,30.855855855855857,27.23873873873874,25.346846846846848,23.346846846846848,20.31081081081081,18.81081081081081,16.81081081081081,12.436936936936936,9.936936936936936,6.702702702702703,5.202702702702703,0.0,12.855855855855856,16.855855855855857,21.472972972972972
125 St,62.4954954954955,60.9954954954955,58.9954954954955,57.4954954954955,55.17567567567568,46.6036036036036,43.6036036036036,39.986486486486484,38.0945945945946,36.0945945945946,33.05855855855856,31.55855855855856,29.55855855855856,25.184684684684683,22.684684684684683,19.45045045045045,17.95045045045045,12.747747747747749,0.0,4.0,8.617117117117116
145 St,66.49549549549549,64.99549549549549,62.9954954954955,61.4954954954955,59.17567567567568,50.6036036036036,47.6036036036036,43.986486486486484,42.0945945945946,40.0945945945946,37.05855855855856,35.55855855855856,33.55855855855856,29.184684684684683,26.684684684684683,23.45045045045045,21.95045045045045,16.74774774774775,4.0,0.0,4.5
168 St,72.16666666666667,70.66666666666667,68.66666666666667,67.16666666666667,64.84684684684684,56.27477477477478,53.27477477477478,49.65765765765766,47.765765765765764,45.765765765765764,42.729729729729726,41.229729729729726,39.229729729729726,34.85585585585586,32.35585585585586,29.12162162162162,27.62162162162162,22.41891891891892,9.67117117117117,4.5,0.0
