,168 St,145 St,125 St,59 St-Columbus Circle,42 St-Port Authority Bus Terminal,34 St-Penn Station,14 St,W 4 St-Wash Sq,Canal St,Chambers St,Fulton St,High St,Jay St-MetroTech,Hoyt-Schermerhorn Sts,Nostrand Av,Utica Av,Broadway Junction,Liberty Av,Van Siclen Av,Shepherd Av,Euclid Av
Fulton St,8.409281374397658,7.54797821076891,7.123559606117745,3.1775874711921226,2.1769851246595433,1.7143306096794468,1.5892258537607376,1.126571338780641,0.39692017598994367,-0.027498428661219432,0.0,-0.019196522103498648,-0.019196522103499092,0.029672113974439362,1.3764403938822536,2.210140372931072,3.4775822333961877,0.8407830907830913,0.8407830907830913,0.8407830907830913,5.704378797402054
High St,8.409281374397658,7.54797821076891,7.123559606117748,3.1775874711921226,2.1769851246595433,1.714330609679445,1.5892258537607376,1.126571338780641,0.3969201759899432,-0.027498428661218988,0.0,0.0,0.0,0.048868636077938454,1.3956369159857527,2.229336895034569,3.496778755499685,0.8047470547470539,0.8047470547470539,0.8047470547470539,5.723575319505553
Jay St-MetroTech,8.409281374397658,7.54797821076891,7.123559606117748,3.1775874711921226,2.1769851246595415,1.7143306096794468,1.5892258537607376,1.126571338780641,0.3969201759899441,-0.027498428661218988,0.0,0.0,0.0,0.048868636077938454,1.3956369159857536,2.229336895034569,3.496778755499685,0.8047470547470539,0.8047470547470539,0.8047470547470539,5.723575319505553
Hoyt-Schermerhorn Sts,8.317122354913053,7.455819191284306,7.0314005866331435,3.0854284517075214,2.084826105174944,1.6221715901948457,1.4970668342761364,1.03441231929604,0.3047611565053412,-0.11965744814582102,-0.09215901948460115,-0.09215901948460115,0.0037712130735385596,0.0,1.3467682799078151,2.1804682589566315,3.4479101194217474,0.41285516285516266,0.41285516285516266,0.41285516285516266,5.674706683427615
Nostrand Av,10.248297716320977,9.38699455269223,8.962575948041064,5.016603813115442,4.0160014665828605,3.553346951602766,3.4282421956840565,2.965587680703962,2.235936517913263,1.811517913262099,1.839016341923319,1.839016341923319,1.934946574481459,1.9311753614079201,0.0,0.8336999790488164,2.1011418395139314,0.3918918918918912,0.3918918918918912,0.3918918918918912,4.3279384035197985
Utica Av,11.127357008170968,10.26605384454222,9.841635239891055,5.895663104965433,4.895060758432852,4.432406243452753,4.307301487534044,3.8446469725539494,3.1149958097632506,2.6905772051120884,2.7180756337733083,2.7180756337733083,2.8140058663314473,2.8102346532579094,0.8790592918499898,0.0,1.2732558139534884,0.3198198198198199,0.3198198198198199,0.3198198198198199,3.5000523779593546
Broadway Junction,12.391891891891895,11.530588728263147,11.106170123611989,7.160197988686363,6.159595642153786,5.696941127173684,5.5718363712549746,5.109181856274876,4.379530693484181,3.955112088833019,3.982610517494237,3.9826105174942388,4.078540750052378,4.07476953697884,2.14359417557092,1.26453488372093,0.0,0.05855855855855863,0.05855855855855863,0.05855855855855818,2.0353027446050698
Liberty Av,1.0730730730730755,0.9559559559559574,0.9374374374374383,1.1371371371371382,0.2832832832832821,-0.14814814814815236,0.1381381381381388,-0.2932932932932957,-0.3303303303303302,-0.34884884884884926,-0.4434434434434458,-0.4434434434434458,0.16766766766766494,0.1406406406406404,-0.04204204204204132,-0.07807807807807698,0.0,0.0,0.0,0.0,0.0
Van Siclen Av,1.0730730730730755,0.9559559559559574,0.9374374374374383,1.1371371371371382,0.2832832832832821,-0.14814814814815236,0.1381381381381388,-0.2932932932932957,-0.3303303303303302,-0.34884884884884926,-0.4434434434434458,-0.4434434434434458,0.16766766766766494,0.1406406406406404,-0.04204204204204132,-0.07807807807807698,0.0,0.0,0.0,0.0,0.0
Shepherd Av,1.0730730730730755,0.9559559559559574,0.9374374374374383,1.1371371371371382,0.2832832832832821,-0.14814814814815236,0.1381381381381388,-0.2932932932932957,-0.33033033033032666,-0.34884884884884926,-0.4434434434434458,-0.4434434434434458,0.16766766766766494,0.1406406406406404,-0.04204204204204132,-0.07807807807807698,0.0,0.0,0.0,0.0,0.0
Euclid Av,14.565105803477898,13.703802639849151,13.279384035197992,9.333411900272367,8.332809553739786,7.870155038759691,7.745050282840978,7.2823957678608835,6.552744605070188,6.1283260004190225,6.155824429080241,6.155824429080241,6.25175466163838,6.247983448564845,4.316808087156923,3.437748795306936,1.2645348837209305,0.0,0.0,0.0,0.0
