,Inwood-207 St,Dyckman St,190 St,181 St,175 St,168 St,145 St,125 St,59 St-Columbus Circle,42 St-Port Authority Bus Terminal,34 St-Penn Station,14 St,W 4 St-Wash Sq,Canal St,Chambers St,Fulton St,High St,Jay St-MetroTech,Hoyt-Schermerhorn Sts,Nostrand Av,Utica Av,Broadway Junction,Euclid Av,Grant Av,80 St,88 St,Rockaway Blvd,104 St,111 St,Ozone Park-Lefferts Blvd,Aqueduct-N Conduit Av,Howard Beach-JFK Airport,Broad Channel,Beach 67 St,Beach 60 St,Beach 44 St,Beach 36 St,Beach 25 St,Far Rockaway-Mott Av,Beach 90 St,Beach 98 St,Beach 105 St,Rockaway Park-Beach 116 St
104 St,70.82608695652173,68.76086956521739,66.26086956521739,64.26086956521739,63.26086956521739,61.26086956521739,57.69565217391305,54.15217391304348,46.15217391304348,43.04347826086956,42.04347826086956,39.02173913043478,37.02173913043478,34.52173913043478,32.52173913043478,31.0,28.0,25.5,24.0,19.565217391304348,17.065217391304348,13.5,8.5,6.5,5.0,3.0,1.5,0.0,1.5,3.0,,,,,,,,,,,,,
111 St,74.73913043478261,72.84782608695652,70.34782608695652,68.34782608695652,67.34782608695652,65.34782608695652,61.78260869565217,58.32608695652174,50.32608695652174,47.21739130434783,46.21739130434783,43.23913043478261,41.23913043478261,38.73913043478261,36.73913043478261,35.21739130434783,32.21739130434783,29.772727272727273,28.272727272727273,23.82608695652174,21.32608695652174,17.76086956521739,12.804347826086957,10.804347826086957,9.304347826086957,7.304347826086956,5.804347826086956,2.0,0.0,1.5,,,,,,,,,,,,,
Ozone Park-Lefferts Blvd,76.23913043478261,74.34782608695652,71.84782608695652,69.84782608695652,68.84782608695652,66.84782608695652,63.28260869565217,59.82608695652174,51.82608695652174,48.71739130434783,47.71739130434783,44.73913043478261,42.73913043478261,40.23913043478261,38.23913043478261,36.71739130434783,33.71739130434783,31.272727272727273,29.772727272727273,25.32608695652174,22.82608695652174,19.26086956521739,14.304347826086957,12.304347826086957,10.804347826086957,8.804347826086957,7.304347826086956,3.5,1.5,0.0,,,,,,,,,,,,,
Aqueduct-N Conduit Av,72.8695652173913,70.8695652173913,68.3695652173913,66.3695652173913,65.3695652173913,63.354166666666664,59.71739130434783,56.21739130434783,48.19565217391305,45.04347826086956,44.04347826086956,41.04347826086956,39.041666666666664,36.541666666666664,34.541666666666664,33.0,30.0,27.5,26.0,21.5,19.0,15.5,10.5,8.5,7.0,5.0,3.5,,,,0.0,2.0,9.0,13.520833333333334,15.25,17.23913043478261,18.73913043478261,20.73913043478261,22.25,,,,
Howard Beach-JFK Airport,74.3695652173913,72.3695652173913,69.8695652173913,67.8695652173913,66.8695652173913,64.85416666666667,61.21739130434783,57.71739130434783,49.69565217391305,46.54347826086956,45.54347826086956,42.54347826086956,40.541666666666664,38.041666666666664,36.041666666666664,34.5,31.5,29.0,27.5,23.0,20.5,17.0,12.0,10.0,8.5,6.5,5.0,,,,1.5,0.0,7.0,11.5,13.229166666666666,15.217391304347826,16.717391304347824,18.717391304347824,20.208333333333332,,,,
Broad Channel,82.6304347826087,80.6304347826087,78.1304347826087,76.1304347826087,75.1304347826087,73.22916666666667,69.65217391304348,66.15217391304348,58.21739130434783,55.06521739130435,54.06521739130435,51.06521739130435,49.083333333333336,46.583333333333336,44.583333333333336,43.108695652173914,40.108695652173914,37.625,36.125,31.625,29.195652173913043,25.708333333333332,20.708333333333332,18.708333333333332,17.208333333333332,15.282608695652174,13.791666666666666,,,,10.291666666666666,7.0,0.0,4.5,6.229166666666667,8.217391304347826,9.717391304347826,11.717391304347826,13.208333333333334,,,,
Beach 67 St,87.1304347826087,85.1304347826087,82.6304347826087,80.6304347826087,79.6304347826087,77.72916666666667,74.15217391304348,70.65217391304348,62.71739130434783,59.56521739130435,58.56521739130435,55.56521739130435,53.583333333333336,51.083333333333336,49.083333333333336,47.608695652173914,44.608695652173914,42.125,40.625,36.125,33.69565217391305,30.208333333333332,25.208333333333332,23.208333333333332,21.708333333333332,19.782608695652176,18.291666666666668,,,,14.791666666666666,11.5,4.5,0.0,1.5,3.5,5.0,7.0,8.5,,,,
Beach 60 St,89.47826086956522,87.47826086956522,84.97826086956522,82.97826086956522,81.97826086956522,80.10416666666667,76.54347826086956,73.04347826086956,65.15217391304348,62.0,61.0,58.0,56.041666666666664,53.541666666666664,51.541666666666664,50.08695652173913,47.08695652173913,44.625,43.125,38.625,36.21739130434783,32.75,27.75,25.75,24.25,22.347826086956523,20.854166666666668,,,,17.354166666666668,14.0625,7.08,1.5,0.0,2.0,3.5,5.5,7.0,,,,
Beach 44 St,92.84782608695652,90.84782608695652,88.34782608695652,86.34782608695652,85.34782608695652,83.5,79.95652173913044,76.45652173913044,68.6086956521739,65.45652173913044,64.45652173913044,61.45652173913044,59.520833333333336,57.020833333333336,55.020833333333336,53.58695652173913,50.58695652173913,48.145833333333336,46.645833333333336,42.145833333333336,39.76086956521739,36.3125,31.3125,29.3125,27.8125,25.956521739130434,24.458333333333332,,,,20.958333333333332,17.666666666666668,10.7,5.145833333333333,2.0,0.0,1.5,3.5,5.0,,,,
Beach 36 St,94.34782608695652,92.34782608695652,89.84782608695652,87.84782608695652,86.84782608695652,85.0,81.45652173913044,77.95652173913044,70.1086956521739,66.95652173913044,65.95652173913044,62.95652173913044,61.020833333333336,58.520833333333336,56.520833333333336,55.08695652173913,52.08695652173913,49.645833333333336,48.145833333333336,43.645833333333336,41.26086956521739,37.8125,32.8125,30.8125,29.3125,27.456521739130434,25.958333333333332,,,,22.458333333333332,19.166666666666668,12.2,6.645833333333333,3.5,1.5,0.0,2.0,3.5,,,,
Beach 25 St,96.34782608695652,94.34782608695652,91.84782608695652,89.84782608695652,88.84782608695652,87.0,83.45652173913044,79.95652173913044,72.1086956521739,68.95652173913044,67.95652173913044,64.95652173913044,63.020833333333336,60.520833333333336,58.520833333333336,57.08695652173913,54.08695652173913,51.645833333333336,50.145833333333336,45.645833333333336,43.26086956521739,39.8125,34.8125,32.8125,31.3125,29.456521739130434,27.958333333333332,,,,24.458333333333332,21.166666666666668,14.2,8.645833333333334,5.5,3.5,2.0,0.0,1.5,,,,
Far Rockaway-Mott Av,97.84782608695652,95.84782608695652,93.34782608695652,91.34782608695652,90.34782608695652,88.5,84.95652173913044,81.45652173913044,73.6086956521739,70.45652173913044,69.45652173913044,66.45652173913044,64.52083333333333,62.020833333333336,60.020833333333336,58.58695652173913,55.58695652173913,53.145833333333336,51.645833333333336,47.145833333333336,44.76086956521739,41.3125,36.3125,34.3125,32.8125,30.956521739130434,29.458333333333332,,,,25.958333333333332,22.666666666666668,15.7,10.145833333333334,7.0,5.0,3.5,1.5,0.0,,,,
Beach 90 St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beach 98 St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beach 105 St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rockaway Park-Beach 116 St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
