,Inwood-207 St,Dyckman St,190 St,181 St,175 St,168 St,145 St,125 St,59 St-Columbus Circle,42 St-Port Authority Bus Terminal,34 St-Penn Station,14 St,W 4 St-Wash Sq,Canal St,Chambers St,Fulton St,High St,Jay St-MetroTech,Hoyt-Schermerhorn Sts,Nostrand Av,Utica Av,Broadway Junction,Euclid Av,Grant Av,80 St,88 St,Rockaway Blvd,104 St,111 St,Ozone Park-Lefferts Blvd,Aqueduct-N Conduit Av,Howard Beach-JFK Airport,Broad Channel,Beach 67 St,Beach 60 St,Beach 44 St,Beach 36 St,Beach 25 St,Far Rockaway-Mott Av,Beach 90 St,Beach 98 St,Beach 105 St,Rockaway Park-Beach 116 St
34 St-Penn Station,32.7962962962963,30.96153846153846,28.75,26.814814814814813,25.814814814814813,23.814814814814813,19.846153846153847,16.03846153846154,4.538461538461538,1.0384615384615385,0.0,3.1296296296296298,5.538461538461538,9.25,12.5,14.0,16.87037037037037,18.87037037037037,20.5,26.589285714285715,29.67241379310345,34.125,40.293103448275865,42.21666666666667,43.43103448275862,45.12068965517241,46.62068965517241,44.9375,46.4375,47.9375,51.72727272727273,53.72727272727273,60.28260869565217,64.41304347826087,65.91304347826087,67.91304347826087,69.41304347826087,71.0,72.5,59.5,61.0,63.0,65.25
14 St,35.925925925925924,34.09615384615385,31.884615384615383,29.962962962962962,28.962962962962962,26.962962962962962,23.0,19.192307692307693,7.711538461538462,4.230769230769231,3.1923076923076925,0.0,2.4038461538461537,6.115384615384615,9.37037037037037,10.87037037037037,13.74074074074074,15.74074074074074,17.37037037037037,23.464285714285715,26.551724137931036,31.0,37.172413793103445,39.1,40.310344827586206,42.0,43.5,41.75,43.25,44.75,48.63636363636363,50.63636363636363,57.19565217391305,61.32608695652174,62.82608695652174,64.82608695652173,66.32608695652173,67.91304347826087,69.41304347826087,56.5,58.0,60.0,62.25
W 4 St-Wash Sq,37.96296296296296,36.13461538461539,33.92307692307692,32.0,31.0,29.0,25.03846153846154,21.23076923076923,9.75,6.269230769230769,5.230769230769231,2.0384615384615383,0.0,3.7115384615384617,6.962962962962963,8.462962962962964,11.333333333333334,13.333333333333334,14.962962962962964,21.053571428571427,24.137931034482758,28.589285714285715,34.758620689655174,36.68333333333333,37.89655172413793,39.58620689655172,41.08620689655172,39.375,40.875,42.375,46.20454545454545,48.20454545454545,54.76086956521739,58.891304347826086,60.391304347826086,62.391304347826086,63.891304347826086,65.47826086956522,66.97826086956522,54.0,55.5,57.5,59.75
Canal St,41.01851851851852,39.21153846153846,37.0,35.092592592592595,34.092592592592595,32.092592592592595,28.153846153846153,24.346153846153847,12.903846153846153,9.461538461538462,8.423076923076923,5.230769230769231,3.1923076923076925,0.0,2.0,3.5,6.5,8.5,10.12962962962963,16.303571428571427,19.46551724137931,23.964285714285715,30.20689655172414,32.2,33.46551724137931,35.1551724137931,36.6551724137931,36.25,37.75,39.25,41.38636363636363,43.38636363636363,50.04347826086956,54.17391304347826,55.67391304347826,57.67391304347826,59.17391304347826,60.76086956521739,62.26086956521739,51.5,53.0,55.0,57.25
Chambers St,43.2962962962963,41.5,39.28846153846154,37.388888888888886,36.388888888888886,34.388888888888886,30.46153846153846,26.653846153846153,15.23076923076923,11.807692307692308,10.76923076923077,7.576923076923077,5.538461538461538,2.36,0.0,1.5,4.5,6.5,8.12962962962963,14.303571428571429,17.46551724137931,21.964285714285715,28.20689655172414,30.2,31.46551724137931,33.1551724137931,34.6551724137931,34.25,35.75,37.25,39.38636363636363,41.38636363636363,48.04347826086956,52.17391304347826,53.67391304347826,55.67391304347826,57.17391304347826,58.76086956521739,60.26086956521739,49.5,51.0,53.0,55.25
Fulton St,44.7962962962963,43.0,40.78846153846154,38.888888888888886,37.888888888888886,35.888888888888886,31.96153846153846,28.153846153846153,16.73076923076923,13.307692307692308,12.26923076923077,9.076923076923077,7.038461538461538,3.86,1.5,0.0,3.0,5.0,6.62962962962963,12.803571428571429,15.96551724137931,20.464285714285715,26.70689655172414,28.7,29.96551724137931,31.655172413793103,33.1551724137931,32.75,34.25,35.75,37.88636363636363,39.88636363636363,46.54347826086956,50.67391304347826,52.17391304347826,54.17391304347826,55.67391304347826,57.26086956521739,58.76086956521739,48.0,49.5,51.5,53.75
High St,47.7962962962963,46.0,43.78846153846154,41.888888888888886,40.888888888888886,38.888888888888886,34.96153846153846,31.153846153846153,19.73076923076923,16.307692307692307,15.26923076923077,12.076923076923077,10.038461538461538,6.86,4.5,3.0,0.0,2.0,3.6296296296296298,9.803571428571429,12.96551724137931,17.464285714285715,23.70689655172414,25.7,26.96551724137931,28.655172413793103,30.155172413793103,29.75,31.25,32.75,34.88636363636363,36.88636363636363,43.54347826086956,47.67391304347826,49.17391304347826,51.17391304347826,52.67391304347826,54.26086956521739,55.76086956521739,45.0,46.5,48.5,50.75
Jay St-MetroTech,50.2962962962963,48.5,46.28846153846154,44.388888888888886,43.388888888888886,41.388888888888886,37.46153846153846,33.65384615384615,22.23076923076923,18.807692307692307,17.76923076923077,14.576923076923077,12.538461538461538,9.36,7.0,5.5,2.5,0.0,1.6296296296296295,7.803571428571429,10.96551724137931,15.464285714285714,21.70689655172414,23.7,24.96551724137931,26.655172413793103,28.155172413793103,27.75,29.25,30.75,32.88636363636363,34.88636363636363,41.54347826086956,45.67391304347826,47.17391304347826,49.17391304347826,50.67391304347826,52.26086956521739,53.76086956521739,43.0,44.5,46.5,48.75
Hoyt-Schermerhorn Sts,52.407407407407405,50.63461538461539,48.42307692307692,46.5,45.5,43.5,39.59615384615385,35.78846153846154,24.365384615384617,20.942307692307693,19.903846153846153,16.71153846153846,14.673076923076923,11.52,9.134615384615385,7.634615384615385,4.66,1.5,0.0,6.160714285714286,9.310344827586206,13.803571428571429,20.03448275862069,22.016666666666666,23.275862068965516,24.96551724137931,26.46551724137931,25.875,27.375,28.875,31.25,33.25,39.891304347826086,44.02173913043478,45.52173913043478,47.52173913043478,49.02173913043478,50.608695652173914,52.108695652173914,41.0,42.5,44.5,46.75
Nostrand Av,58.166666666666664,56.44230769230769,54.23076923076923,52.333333333333336,51.333333333333336,49.333333333333336,45.48076923076923,41.67307692307692,30.326923076923077,26.98076923076923,25.942307692307693,22.75,20.71153846153846,17.62,15.25,13.75,10.84,7.68,6.18,0.0,3.189655172413793,7.696428571428571,13.96551724137931,15.983333333333333,17.25862068965517,18.948275862068964,20.448275862068964,20.4375,21.9375,23.4375,25.068181818181817,27.068181818181817,33.76086956521739,37.891304347826086,39.391304347826086,41.391304347826086,42.891304347826086,44.47826086956522,45.97826086956522,36.0,37.5,39.5,41.75
Utica Av,61.25925925925926,59.55769230769231,57.34615384615385,55.46296296296296,54.46296296296296,52.46296296296296,48.63461538461539,44.82692307692308,33.51923076923077,30.21153846153846,29.173076923076923,25.98076923076923,23.942307692307693,20.88,18.51923076923077,17.01923076923077,14.14,10.98,9.48,3.34,0.0,4.517857142857143,10.810344827586206,12.85,14.137931034482758,15.827586206896552,17.32758620689655,17.6875,19.1875,20.6875,21.818181818181817,23.818181818181817,30.52173913043478,34.65217391304348,36.15217391304348,38.15217391304348,39.65217391304348,41.23913043478261,42.73913043478261,33.0,34.5,36.5,38.75
Broadway Junction,65.64814814814815,63.98076923076923,61.76923076923077,59.907407407407405,58.907407407407405,56.907407407407405,53.11538461538461,49.30769230769231,38.05769230769231,34.80769230769231,33.76923076923077,30.576923076923077,28.53846153846154,25.52,23.173076923076923,21.673076923076923,18.84,15.68,14.18,8.1,4.76,0.0,6.275862068965517,8.35,9.655172413793103,11.344827586206897,12.844827586206897,13.75,15.25,16.75,17.181818181818183,19.181818181818183,25.934782608695652,30.065217391304348,31.565217391304348,33.56521739130435,35.06521739130435,36.65217391304348,38.15217391304348,29.5,31.0,33.0,35.25
Euclid Av,72.81481481481481,71.23076923076923,69.01923076923077,67.12962962962963,66.12962962962963,64.12962962962963,60.42307692307692,56.61538461538461,45.42307692307692,42.23076923076923,41.19230769230769,38.0,35.96153846153846,32.98,30.596153846153847,29.096153846153847,26.36,23.2,21.7,15.68,12.34,6.269230769230769,0.0,2.088888888888889,3.477272727272727,4.943181818181818,6.284090909090909,8.23913043478261,9.73913043478261,10.934782608695652,10.295454545454545,12.295454545454545,19.108695652173914,23.23913043478261,24.73913043478261,26.73913043478261,28.23913043478261,29.82608695652174,31.32608695652174,24.0,25.5,27.5,29.75
Grant Av,74.81481481481481,73.23076923076923,71.01923076923077,69.12962962962963,68.12962962962963,66.12962962962963,62.42307692307692,58.61538461538461,47.42307692307692,44.28846153846154,43.25,40.05769230769231,38.01923076923077,35.04,32.65384615384615,31.153846153846153,28.42,25.26,23.76,17.78,14.44,8.365384615384615,2.0,0.0,1.375,2.840909090909091,4.181818181818182,5.695652173913044,7.195652173913044,8.391304347826088,8.659090909090908,10.659090909090908,17.456521739130434,21.58695652173913,23.08695652173913,25.08695652173913,26.58695652173913,28.17391304347826,29.67391304347826,22.0,23.5,25.5,27.75
80 St,76.31481481481481,74.73076923076923,72.51923076923077,70.62962962962963,69.62962962962963,67.62962962962963,63.92307692307692,60.11538461538461,48.92307692307692,45.78846153846154,44.75,41.55769230769231,39.51923076923077,36.54,34.15384615384615,32.65384615384615,29.92,26.76,25.26,19.28,15.94,9.865384615384615,3.5,1.5,0.0,1.4659090909090908,2.8068181818181817,4.326086956521739,5.826086956521739,7.021739130434782,7.295454545454546,9.295454545454545,16.108695652173914,20.23913043478261,21.73913043478261,23.73913043478261,25.23913043478261,26.82608695652174,28.32608695652174,21.0,22.5,24.5,26.75
88 St,78.0,76.40384615384616,74.1923076923077,72.29629629629629,71.29629629629629,69.29629629629629,65.57692307692308,61.76923076923077,50.55769230769231,47.40384615384615,46.36538461538461,43.17307692307692,41.13461538461539,38.14,35.75,34.25,31.5,28.34,26.84,20.84,17.5,11.423076923076923,5.034883720930233,3.034090909090909,1.5340909090909092,0.0,1.3409090909090908,3.0,4.5,5.695652173913044,5.659090909090909,7.659090909090909,14.456521739130435,18.58695652173913,20.08695652173913,22.08695652173913,23.58695652173913,25.17391304347826,26.67391304347826,19.0,20.5,22.5,24.75
Rockaway Blvd,79.5,77.90384615384616,75.6923076923077,73.79629629629629,72.79629629629629,70.79629629629629,67.07692307692308,63.26923076923077,52.05769230769231,48.90384615384615,47.86538461538461,44.67307692307692,42.63461538461539,39.64,37.25,35.75,33.0,29.84,28.34,22.34,19.0,12.923076923076923,6.534883720930233,4.534090909090909,3.034090909090909,1.5,0.0,1.8043478260869565,3.3043478260869565,4.5,4.159090909090909,6.159090909090909,12.956521739130435,17.08695652173913,18.58695652173913,20.58695652173913,22.08695652173913,23.67391304347826,25.17391304347826,17.5,19.0,21.0,23.25
