,Inwood-207 St,Dyckman St,190 St,181 St,175 St,168 St,145 St,125 St,59 St-Columbus Circle,42 St-Port Authority Bus Terminal,34 St-Penn Station,14 St,W 4 St-Wash Sq,Canal St,Chambers St,Fulton St,High St,Jay St-MetroTech,Hoyt-Schermerhorn Sts,Nostrand Av,Utica Av,Broadway Junction,Euclid Av,Grant Av,80 St,88 St,Rockaway Blvd,104 St,111 St,Ozone Park-Lefferts Blvd,Aqueduct-N Conduit Av,Howard Beach-JFK Airport,Broad Channel,Beach 67 St,Beach 60 St,Beach 44 St,Beach 36 St,Beach 25 St,Far Rockaway-Mott Av,Beach 90 St,Beach 98 St,Beach 105 St,Rockaway Park-Beach 116 St
Broad Channel,0.536231884057969,0.36956521739129755,0.36956521739129755,0.36956521739129755,0.36956521739129755,0.10416666666665719,0.09782608695651618,0.09782608695651618,-0.34239130434782794,-0.5235507246376869,-0.5235507246376869,-0.6485507246376869,-0.7651515151515156,-0.7083333333333357,-0.7083333333333357,-0.733695652173914,-0.733695652173914,-0.8522727272727266,-0.9886363636363669,-1.0416666666666679,-1.1123188405797109,-1.5265151515151487,-1.5416666666666643,-1.5416666666666643,-1.541666666666666,-1.6287625418060205,-1.791666666666666,,,,-1.791666666666666,0.0,0.0,0.0,-0.22916666666666696,-0.18405797101449295,-0.18405797101449295,-0.18405797101449295,-0.1750000000000007,,,,
Beach 67 St,0.536231884057969,0.36956521739129755,0.36956521739129755,0.36956521739129755,0.36956521739129755,0.10416666666665719,0.09782608695651618,0.09782608695651618,-0.34239130434782794,-0.5235507246376869,-0.5235507246376869,-0.6485507246376869,-0.7651515151515156,-0.7083333333333357,-0.7083333333333357,-0.733695652173914,-0.733695652173914,-0.8522727272727266,-0.9886363636363669,-1.0416666666666643,-1.1123188405797109,-1.5265151515151487,-1.5416666666666643,-1.5416666666666643,-1.5416666666666643,-1.6287625418060223,-1.7916666666666679,,,,-1.791666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
Beach 60 St,0.8967391304347814,0.6755852842809418,0.6755852842809418,0.6755852842809418,0.6755852842809418,0.3541666666666572,0.33152173913043725,0.33152173913043725,-0.23550724637681242,-0.4166666666666643,-0.4166666666666643,-0.5416666666666643,-0.7234848484848442,-0.7083333333333286,-0.7083333333333286,-0.7536231884057969,-0.7536231884057969,-0.9431818181818201,-1.0795454545454533,-1.1666666666666643,-1.2590579710144922,-1.75,-1.7916666666666679,-1.7916666666666679,-1.7916666666666679,-1.9247491638796,-2.104166666666668,,,,-2.104166666666668,-0.3125,-0.45500000000000007,0.0,0.0,0.0,0.0,0.0,0.0,,,,
Beach 44 St,1.1938405797101552,0.8829431438127102,0.8829431438127102,0.8829431438127102,0.8829431438127102,0.5,0.46014492753623415,0.46014492753623415,-0.23369565217390686,-0.41485507246376585,-0.41485507246376585,-0.539855072463773,-0.7935606060606091,-0.8125,-0.8125,-0.8786231884057969,-0.8786231884057969,-1.1458333333333357,-1.2821969696969688,-1.3958333333333357,-1.5108695652173907,-2.0852272727272734,-2.229166666666668,-2.229166666666668,-2.229166666666668,-2.4180602006688936,-2.625,,,,-2.625,-0.8333333333333357,-1.1583333333333332,-0.7291666666666661,0.0,0.0,0.0,0.0,0.0,,,,
Beach 36 St,1.1938405797101552,0.8829431438127102,0.8829431438127102,0.8829431438127102,0.8829431438127102,0.5,0.46014492753623415,0.46014492753623415,-0.23369565217390686,-0.41485507246376585,-0.41485507246376585,-0.539855072463773,-0.7935606060606091,-0.8125,-0.8125,-0.8786231884057969,-0.8786231884057969,-1.1458333333333357,-1.2821969696969688,-1.3958333333333357,-1.5108695652173907,-2.0852272727272734,-2.229166666666668,-2.229166666666668,-2.229166666666668,-2.4180602006688936,-2.625,,,,-2.625,-0.8333333333333357,-1.1583333333333332,-0.7291666666666661,0.0,0.0,0.0,0.0,0.0,,,,
Beach 25 St,1.1938405797101552,0.8829431438127102,0.8829431438127102,0.8829431438127102,0.8829431438127102,0.5,0.46014492753623415,0.46014492753623415,-0.23369565217390686,-0.41485507246376585,-0.41485507246376585,-0.5398550724637659,-0.7935606060606091,-0.8125,-0.8125,-0.8786231884057969,-0.8786231884057969,-1.1458333333333357,-1.2821969696969688,-1.3958333333333357,-1.5108695652173907,-2.0852272727272734,-2.2291666666666643,-2.229166666666668,-2.229166666666668,-2.4180602006688936,-2.625,,,,-2.625,-0.8333333333333357,-1.1583333333333332,-0.729166666666667,0.0,0.0,0.0,0.0,0.0,,,,
Far Rockaway-Mott Av,1.1938405797101552,0.8829431438127102,0.8829431438127102,0.8829431438127102,0.8829431438127102,0.5,0.46014492753623415,0.46014492753623415,-0.23369565217390686,-0.41485507246376585,-0.41485507246376585,-0.5398550724637659,-0.793560606060602,-0.8125,-0.8125,-0.8786231884057969,-0.8786231884057969,-1.1458333333333357,-1.2821969696969688,-1.3958333333333357,-1.5108695652173907,-2.0852272727272734,-2.2291666666666643,-2.2291666666666643,-2.229166666666668,-2.4180602006688936,-2.625,,,,-2.625,-0.8333333333333357,-1.1583333333333332,-0.7291666666666679,0.0,0.0,0.0,0.0,0.0,,,,
Beach 90 St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beach 98 St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beach 105 St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
