,Inwood-207 St,Dyckman St,190 St,181 St,175 St,168 St,145 St,125 St,59 St-Columbus Circle,42 St-Port Authority Bus Terminal,34 St-Penn Station,14 St,W 4 St-Wash Sq,Canal St,Chambers St,Fulton St,High St,Jay St-MetroTech,Hoyt-Schermerhorn Sts,Nostrand Av,Utica Av,Broadway Junction,Liberty Av,Van Siclen Av,Shepherd Av,Euclid Av,Grant Av,80 St,88 St,Rockaway Blvd,104 St,111 St,Ozone Park-Lefferts Blvd,Aqueduct-N Conduit Av,Howard Beach-JFK Airport,Broad Channel,Beach 67 St,Beach 60 St,Beach 44 St,Beach 36 St,Beach 25 St,Far Rockaway-Mott Av,Beach 90 St,Beach 98 St,Beach 105 St,Rockaway Park-Beach 116 St
Utica Av,54.5,52.5,50.0,48.0,47.0,45.03703703703704,41.392857142857146,37.925925925925924,29.685185185185187,26.303571428571427,25.303571428571427,22.14814814814815,20.153846153846153,17.64814814814815,15.648148148148149,14.153846153846153,11.148148148148149,8.653846153846153,7.0,2.5,0.0,3.5,,,,8.722222222222221,11.357142857142858,12.430555555555555,14.319444444444445,15.819444444444445,17.21875,18.71875,20.21875,20.65,22.65,30.07894736842105,34.67857142857143,36.17857142857143,38.3,39.8,41.8,43.3,33.5,35.5,37.0,39.666666666666664
Broadway Junction,58.0,56.0,53.5,51.5,50.5,48.53703703703704,44.892857142857146,41.425925925925924,33.18518518518518,29.803571428571427,28.803571428571427,25.64814814814815,23.653846153846153,21.14814814814815,19.14814814814815,17.653846153846153,14.648148148148149,12.153846153846153,10.5,6.0,3.5,0.0,,,,5.083333333333333,7.714285714285714,8.791666666666666,10.680555555555555,12.180555555555555,13.59375,15.09375,16.59375,17.0,19.0,26.42105263157895,30.964285714285715,32.464285714285715,34.6,36.1,38.1,39.6,30.0,32.0,33.5,36.166666666666664
Liberty Av,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
Van Siclen Av,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
Shepherd Av,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
Euclid Av,63.160714285714285,61.160714285714285,58.660714285714285,56.660714285714285,55.660714285714285,53.7037037037037,50.05357142857143,46.592592592592595,38.351851851851855,34.964285714285715,33.964285714285715,30.814814814814813,28.826923076923077,26.37037037037037,24.37037037037037,22.865384615384617,19.85185185185185,17.365384615384617,15.711538461538462,11.153846153846153,8.653846153846153,5.0,,,,0.0,1.9,3.0,4.888888888888889,6.388888888888889,7.90625,9.40625,10.90625,11.125,13.125,20.526315789473685,25.071428571428573,26.571428571428573,28.7,30.2,32.2,33.7,24.0,26.0,27.5,30.0
Grant Av,65.24074074074075,63.24074074074074,60.74074074074074,58.74074074074074,57.74074074074074,55.78846153846154,52.129629629629626,48.67307692307692,40.42307692307692,37.01851851851852,36.01851851851852,32.86538461538461,30.88,28.423076923076923,26.423076923076923,24.923076923076923,21.90740740740741,19.423076923076923,17.76923076923077,13.211538461538462,10.711538461538462,7.06,,,,2.0,0.0,1.1111111111111112,3.0,4.5,6.0625,7.5625,9.0625,9.225,11.225,18.63157894736842,23.214285714285715,24.714285714285715,26.866666666666667,28.366666666666667,30.366666666666667,31.866666666666667,22.0,24.0,25.5,28.0
80 St,66.74074074074075,64.74074074074075,62.24074074074074,60.24074074074074,59.24074074074074,57.28846153846154,53.629629629629626,50.17307692307692,41.92307692307692,38.51851851851852,37.51851851851852,34.36538461538461,32.38,29.923076923076923,27.923076923076923,26.423076923076923,23.40740740740741,20.923076923076923,19.26923076923077,14.711538461538462,12.211538461538462,8.56,,,,3.5,1.5,0.0,1.8888888888888888,3.388888888888889,4.90625,6.40625,7.90625,8.125,10.125,17.526315789473685,22.071428571428573,23.571428571428573,25.7,27.2,29.2,30.7,21.0,23.0,24.5,27.0
88 St,68.74074074074075,66.74074074074075,64.24074074074075,62.24074074074074,61.24074074074074,59.28846153846154,55.629629629629626,52.17307692307692,43.92307692307692,40.51851851851852,39.51851851851852,36.36538461538461,34.38,31.923076923076923,29.923076923076923,28.423076923076923,25.40740740740741,22.923076923076923,21.26923076923077,16.71153846153846,14.211538461538462,10.56,,,,5.5,3.5,2.0,0.0,1.5,3.0625,4.5625,6.0625,6.225,8.225,15.631578947368421,20.214285714285715,21.714285714285715,23.866666666666667,25.366666666666667,27.366666666666667,28.866666666666667,19.0,21.0,22.5,25.0
Rockaway Blvd,70.24074074074075,68.24074074074075,65.74074074074075,63.74074074074074,62.74074074074074,60.78846153846154,57.129629629629626,53.67307692307692,45.42307692307692,42.01851851851852,41.01851851851852,37.86538461538461,35.88,33.42307692307692,31.423076923076923,29.923076923076923,26.90740740740741,24.423076923076923,22.76923076923077,18.21153846153846,15.711538461538462,12.06,,,,7.0,5.0,3.5,1.5,0.0,1.5,3.0,4.5,4.5,6.5,13.894736842105264,18.392857142857142,19.892857142857142,21.9,23.4,25.4,26.9,17.5,19.5,21.0,23.5
