================================================================================
A Train - Weekday - Combined Directions
Travel Times (minutes)
================================================================================

Upper triangle (above diagonal): to Manhattan
Lower triangle (below diagonal): to Queens
Diagonal: Same station = 0 minutes

                                   Inwood-207 St  Dyckman St     190 St     181 St     175 St     168 St     145 St     125 St  59 St-Columbus Circle  42 St-Port Authority Bus Terminal  34 St-Penn Station      14 St  W 4 St-Wash Sq   Canal St  Chambers St  Fulton St    High St  Jay St-MetroTech  Hoyt-Schermerhorn Sts  Nostrand Av   Utica Av  Broadway Junction  Euclid Av   Grant Av      80 St      88 St  Rockaway Blvd    104 St    111 St  Ozone Park-Lefferts Blvd  Aqueduct-N Conduit Av  Aqueduct Racetrack  Howard Beach-JFK Airport  Broad Channel  Beach 67 St  Beach 60 St  Beach 44 St  Beach 36 St  Beach 25 St  Far Rockaway-Mott Av  Beach 90 St  Beach 98 St  Beach 105 St  Rockaway Park-Beach 116 St
Howard Beach-JFK Airport               75.000000   72.923077  70.423077  68.423077  67.423077  65.500000  61.916667  58.416667              50.208333                          46.875000           45.875000  42.750000       40.772727  38.375000    36.375000  34.875000  31.875000         29.409091              27.772727    23.250000  20.750000          17.000000  12.000000  10.000000   8.500000   6.500000       5.000000       NaN       NaN                       NaN               1.500000                 NaN                  0.000000       7.000000    11.500000    13.000000    15.033333    16.533333    18.533333             20.033333    10.500000    12.500000     14.000000                   16.500000
Broad Channel                          83.166667   81.000000  78.500000  76.500000  75.500000  73.333333  69.750000  66.250000              57.875000                          54.541667           53.541667  50.416667       48.318182  45.875000    43.875000  42.375000  39.375000         36.772727              35.136364    30.583333  28.083333          24.181818  19.166667  17.166667  15.666667  13.653846      12.000000       NaN       NaN                       NaN               8.500000                 NaN                  7.000000       0.000000     4.500000     6.000000     8.033333     9.533333    11.533333             13.033333     3.500000     5.500000      7.000000                    9.500000
Beach 67 St                            87.666667   85.500000  83.000000  81.000000  80.000000  77.833333  74.250000  70.750000              62.375000                          59.041667           58.041667  54.916667       52.818182  50.375000    48.375000  46.875000  43.875000         41.272727              39.636364    35.083333  32.583333          28.681818  23.666667  21.666667  20.166667  18.153846      16.500000       NaN       NaN                       NaN              13.000000                 NaN                 11.500000       4.500000     0.000000     1.500000     3.500000     5.000000     7.000000              8.500000          NaN          NaN           NaN                         NaN
Beach 60 St                            90.375000   88.153846  85.653846  83.653846  82.653846  80.458333  76.875000  73.375000              64.916667                          61.583333           60.583333  57.458333       55.318182  52.833333    50.833333  49.333333  46.333333         43.681818              42.045455    37.458333  34.958333          31.000000  25.958333  23.958333  22.458333  20.423077      18.750000       NaN       NaN                       NaN              15.250000                 NaN                 13.750000       6.625000     1.500000     0.000000     2.000000     3.500000     5.500000              7.000000          NaN          NaN           NaN                         NaN
Beach 44 St                            94.041667   91.730769  89.230769  87.230769  86.230769  84.000000  80.416667  76.916667              68.375000                          65.041667           64.041667  60.916667       58.727273  56.208333    54.208333  52.708333  49.708333         47.000000              45.363636    40.750000  38.250000          34.227273  29.083333  27.083333  25.583333  23.538462      21.833333       NaN       NaN                       NaN              18.333333                 NaN                 16.833333       9.541667     4.416667     2.000000     0.000000     1.500000     3.500000              5.000000          NaN          NaN           NaN                         NaN
Beach 36 St                            95.541667   93.230769  90.730769  88.730769  87.730769  85.500000  81.916667  78.416667              69.875000                          66.541667           65.541667  62.416667       60.227273  57.708333    55.708333  54.208333  51.208333         48.500000              46.863636    42.250000  39.750000          35.727273  30.583333  28.583333  27.083333  25.038462      23.333333       NaN       NaN                       NaN              19.833333                 NaN                 18.333333      11.041667     5.916667     3.500000     1.500000     0.000000     2.000000              3.500000          NaN          NaN           NaN                         NaN
Beach 25 St                            97.541667   95.230769  92.730769  90.730769  89.730769  87.500000  83.916667  80.416667              71.875000                          68.541667           67.541667  64.416667       62.227273  59.708333    57.708333  56.208333  53.208333         50.500000              48.863636    44.250000  41.750000          37.727273  32.583333  30.583333  29.083333  27.038462      25.333333       NaN       NaN                       NaN              21.833333                 NaN                 20.333333      13.041667     7.916667     5.500000     3.500000     2.000000     0.000000              1.500000          NaN          NaN           NaN                         NaN
Far Rockaway-Mott Av                   99.041667   96.730769  94.230769  92.230769  91.230769  89.000000  85.416667  81.916667              73.375000                          70.041667           69.041667  65.916667       63.727273  61.208333    59.208333  57.708333  54.708333         52.000000              50.363636    45.750000  43.250000          39.227273  34.083333  32.083333  30.583333  28.538462      26.833333       NaN       NaN                       NaN              23.333333                 NaN                 21.833333      14.541667     9.416667     7.000000     5.000000     3.500000     1.500000              0.000000          NaN          NaN           NaN                         NaN
Beach 90 St                                  NaN         NaN        NaN        NaN        NaN        NaN        NaN        NaN                    NaN                                NaN                 NaN        NaN             NaN        NaN          NaN        NaN        NaN               NaN                    NaN          NaN        NaN                NaN        NaN        NaN        NaN        NaN            NaN       NaN       NaN                       NaN                    NaN                 NaN                       NaN            NaN          NaN          NaN          NaN          NaN          NaN                   NaN     0.000000     2.000000      3.500000                    6.000000
Beach 98 St                                  NaN         NaN        NaN        NaN        NaN        NaN        NaN        NaN                    NaN                                NaN                 NaN        NaN             NaN        NaN          NaN        NaN        NaN               NaN                    NaN          NaN        NaN                NaN        NaN        NaN        NaN        NaN            NaN       NaN       NaN                       NaN                    NaN                 NaN                       NaN            NaN          NaN          NaN          NaN          NaN          NaN                   NaN          NaN     0.000000      1.500000                    4.000000
Beach 105 St                                 NaN         NaN        NaN        NaN        NaN        NaN        NaN        NaN                    NaN                                NaN                 NaN        NaN             NaN        NaN          NaN        NaN        NaN               NaN                    NaN          NaN        NaN                NaN        NaN        NaN        NaN        NaN            NaN       NaN       NaN                       NaN                    NaN                 NaN                       NaN            NaN          NaN          NaN          NaN          NaN          NaN                   NaN          NaN          NaN      0.000000                    2.500000
Rockaway Park-Beach 116 St                   NaN         NaN        NaN        NaN        NaN        NaN        NaN        NaN                    NaN                                NaN                 NaN        NaN             NaN        NaN          NaN        NaN        NaN               NaN                    NaN          NaN        NaN                NaN        NaN        NaN        NaN        NaN            NaN       NaN       NaN                       NaN                    NaN                 NaN                       NaN            NaN          NaN          NaN          NaN          NaN          NaN                   NaN          NaN          NaN           NaN                    0.000000
